COD_PRODUTO;PRODUTO;GRUPO;SUBGRUPO; ULTIMO_CUSTO ;REFERENCIA;MARCA;COD_BARRAS;NCM;DESCRICAO_RESUMIDA;CEST;COD_BARRAS_NF
128484;QUEBRA-CABECA 24PÇS CAES EM ACAO - URIARTE;BRINQUEDOS;QUEBRA-CABECA; R$ 7,44 ;4164;URIARTE;7908114401399;95030099;QUEBRA-CABECA 24PÇS CAES EM ACAO - URIARTE;;7908114401399
128487;PLANNER 2025 ESPIRAL 15x21cm PRETO 160 FLS - CLIP;MATERIAIS;AGENDAS E INDICES; R$ 8,50 ;P-51160;CLIP;1985372350108;49111090;PLANNER 2025 ESPIRAL 15x21cm PRETO 160 FLS - CLIP;;
128477;DESCOBRINDO AS LETRAS 70PÇS JOGO PEDAGÓGICO - URIARTE;BRINQUEDOS;LETRAS E NUMEROS; R$ 8,41 ;3790;URIARTE;7908114400644;95030099;DESCOBRINDO AS LETRAS 70PÇS JOGO PEDAGÓGICO - URIARTE;;7908114400644
128495;AGENDA 2025 ESPIRAL 15x21cm COURO MARROM 164 FLS - CLIP;MATERIAIS;AGENDAS E INDICES; R$ 10,40 ;P-51159;CLIP;1985372349973;49111090;AGENDA 2025 ESPIRAL 15x21cm COURO MARROM 164 FLS - CLIP;;
111155;KIT GUARDANAPO HOME CORAL C/4 PEÇAS - COPA&CIA;CAMA MESA E BANHO;DIVERSOS; R$ 11,90 ;87224;COPA&CIA;7894564087224;63025100;GUARDANAPO 4 PCS HOME CORAL;2806100;
111158;KIT GUARDANAPO HOME BRANCO C/4 PEÇAS - COPA&CIA;CAMA MESA E BANHO;DIVERSOS; R$ 14,90 ;19133;COPA&CIA;7894564019133;63025100;GUARDANAPO 4 PCS HOME BRANCO;2806100;
111222;MODELARTE FROZEN FAZ DE VERDADE - ESTRELA;BRINQUEDOS;DIVERSOS; R$ 19,89 ;1,0019E+12;ESTRELA;7896027549225;95030080;MODELARTE FROZEN 1001902200020;;
111164;COPO DE INOX TERMICO - EU TENHO A MELHOR MAE DO MUNDO 1294 - BRASFOOT;BAZAR;COPOS; R$ 12,48 ;1294;BRASFOOT;7899790213638;39241000;COPO PLAST. INOX TERM - EU TEN;1400600;
111598;TINTA ACRILICA.FOSCA 250ML VERDE MUSGO - CORFIX ;MATERIAIS;TINTAS; R$ 12,10 ;173003- 333;CORFIX;7896011707822;32131000;DECORFIX TINTA ACR.FOSCA 250 M;;
111223;PISCINA DE BOLINHAS BARBIE 2103 - LIDER;BRINQUEDOS;DIVERSOS; R$ 36,72 ;2103;LIDER;7899455901030;95030099;PISC BOL BARBIE 2103;;
111224;BOLA EM VINIL BARBIE ROSA ESTAMPADO - LIDER;BRINQUEDOS;DIVERSOS; R$ 2,65 ;543;LIDER;7898125115432;95066200;BOLA CX. BARBIE 543;;
111225;BOLAO INFANTIL EM VINIL BEN 10 - LIDER;BRINQUEDOS;BOLAS; R$ 4,33 ;2164;LIDER;7899455901641;95066200;BOLAO BEN 10 2164;;
111235;BOLAO TURMA DA MONICA 2289 - LIDER;BRINQUEDOS;BOLAS; R$ 4,34 ;2289;LIDER;7899455902891;95066200;BOLAO T DA MONICA 2289;;
111226;KIT MINI UTILIDADES BARBIE 2181 - LIDER;BRINQUEDOS;DIVERSOS; R$ 8,25 ;2181;LIDER;7899455901818;95030099;KIT MINI UTIL BARBIE 2181;;
111227;FLY TEN BEN 10 2249 - LIDER;BRINQUEDOS;DIVERSOS; R$ 13,57 ;2249;LIDER;7899455902495;95030099;FLY TEN BEN 10 2249;;
111228;BOLAO EM VINIL PEPPA 2265 - LIDER;BRINQUEDOS;BOLAS; R$ 4,33 ;2265;LIDER;7899455902655;95066200;BOLAO PEPPA 2265;;
111242;QUEBRA CABECA PEPPA 2271 - LIDER;BRINQUEDOS;QUEBRA-CABECA; R$ 7,06 ;2271;LIDER;7899455902716;95030070;QUEBRA CABECA PEPPA 2271;;
111366;ROUPAO ESSENCE LISO PINK/MEDIO- NIAZITEX;CAMA MESA E BANHO;ROUPOES; R$ 25,15 ;04000019PIK00M;NIAZITEX;7899967034493;61089200;ROUPAO ESSENCE LISO PINK/MEDIO;;
111328;QUEBRA-CABECA 26 PCS MONTANDO O ALFABETO PRINCESA - TOYSTER;BRINQUEDOS;QUEBRA-CABECA; R$ 13,12 ;2404;TOYSTER;7896054024047;95030080;# PRINCESA - QC 26 PCS MONTAND;;
111255;BLOCOS DE ENCAIXE WINNER F1 C/ CONTROLE - XALINGO;BRINQUEDOS;MONTAR; R$ 38,39 ;6676;XALINGO;7896640431518;95030060;BLOCOS WINNER F1 COM R/C 06676;;
111258;DOMINO PROCURANDO DORY 19509 - XALINGO;BRINQUEDOS;JOGOS; R$ 7,64 ;19509;XALINGO;7896640432720;95030099;DOMINO EDUC.PROCURANDO DORY 19;;
111315;JOGO DE COPOS C/6 POP AZUL 250ML - CASALINDA;BAZAR;COPOS; R$ 10,10 ;7059;CASALINDA;7898595770599;70133700;REF 7059 POP AZUL 250ML;1400200;
111262;BLOCOS QUEBRA-CABEÇA PROCURANDO DORY 19532 - XALINGO;BRINQUEDOS;QUEBRA-CABECA; R$ 10,94 ;19532;XALINGO;7896640432751;95030070;BLOCOS Q.C.PROCURANDO DORY 195;;
111264;ASSOCIANDO NUMERO E QUANTIDADE MY LITTLE PONY 24065 - XALINGO;BRINQUEDOS;JOGOS; R$ 10,95 ;24065;XALINGO;7896640432560;95030099;ASSOCIANDO NUM.E QUANT.20 PC M;;
111317;JOGO DE COPOS C/6 BALI CINZA 320ML - CASALINDA;BAZAR;COPOS; R$ 12,78 ;7091;CASALINDA;7898595770919;70133700;REF 7091 BALI CINZA 320 ML;1400200;
111270;BONECO AVENGERS SORTIDO B6661 - HASBRO;BRINQUEDOS;BONECAS(OS); R$ 25,80 ;B6661;HASBRO;630509424399;95030022;BR H AV FIG 12P TITAN SORT B66;;
111271;BONECO TITAN VILOES SORTIDO B9707 - HASBRO;BRINQUEDOS;BONECAS(OS); R$ 25,80 ;B9707;HASBRO;630509539932;95030022;BR H SM FIG 12P VILOES SORT B9;;
111272;PULA CORDA FROZEN  25838 - TOYNG;BRINQUEDOS;DIVERSOS; R$ 5,93 ;25838;TOYNG;7899429110000;95030099;PULA CORDA FROZEN 2DZ VLU 0258;;
111319;JOGO DE COPOS C/6 BALI VERMELHO 320ML - CASALINDA;BAZAR;COPOS; R$ 12,78 ;7048;CASALINDA;7898595770483;70133700;REF 7048 BALI VERMELHO 320ML;1400200;
111273;JOGO DE PESCA MICKEY 31921 - TOYNG;BRINQUEDOS;DIVERSOS; R$ 14,85 ;31921;TOYNG;7899871604645;95030099;KIT PESCA PILHA MICKEY 6PC UFL;;
111320;JOGO DE COPOS C/6 BALI TRANSPARENTE 320ML - CASALINDA;BAZAR;COPOS; R$ 10,40 ;7045;CASALINDA;7898595770452;70133700;REF 7045 BALI TRANSP 320ML;1400200;
