POSICAO;SCORE;ACAO;COD_PRODUTO;PRODUTO;MARCA;GRUPO;CUSTO;PRECO_PRA_COMPETIR;SOBRA_RS;SOBRA_PCT;VISITAS_JANELA;VISITAS_DIA;TENDENCIA;CONCORRENTES;LOJAS_OFICIAIS;ANUNCIOS_MEDIDOS;PRECO_NA_ANALISE;SOBRA_PCT_NA_ANALISE;TIER;VERIFICACAO;POR_QUE;URL_CATALOGO;URL_CONCORRENTE
17;74;SEGUNDA RODADA;153840;BONECA TITI PAPINHA - BAMBOLA;BAMBOLA;BRINQUEDOS;9,32;40,00;19,48;48,7;871;14,52;caindo;4;1;3;40,00;48,9;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB41629714;https://produto.mercadolivre.com.br/MLB-4234588917
18;73;SEGUNDA RODADA;125724;VASO C/PE DE VIDRO SODO-CALCICO DIAMOND 14,5X11,5CM - LYOR;LYOR;BAZAR;7,90;34,68;14,36;41,4;881;14,68;caindo;6;1;3;34,68;47,0;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB24515997;https://produto.mercadolivre.com.br/MLB-3622673645
19;73;SEGUNDA RODADA;138516;MOCHILA 34L BIG STUDENT CINZA - JANSPORT;JANSPORT;MATERIAIS;230,13;499,00;151,68;30,4;1147;19,12;subindo;3;1;3;375,99;15,3;conferir;DUVIDOSA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB25717441;https://produto.mercadolivre.com.br/MLB-5831139586
20;73;ANUNCIAR JA;115504;LITTLE DOLLS PASSEIO 8027 - DIVERTOYS;DIVERTOYS;BRINQUEDOS;15,77;49,45;21,49;43,5;361;6,02;subindo;3;0;3;59,90;51,3;conferir;DUVIDOSA;concorrente baixou 17%;https://www.mercadolivre.com.br/p/MLB19548464;https://produto.mercadolivre.com.br/MLB-5878095568
21;73;ANUNCIAR JA;150504;VASO 11x11x17cm VIDRO LINES - WOLFF;WOLFF;BAZAR;10,15;30,69;10,47;34,1;303;5,05;caindo;2;0;2;30,69;34,2;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB53012953;https://produto.mercadolivre.com.br/MLB-4214397483
22;72;ANUNCIAR JA;152894;GARRAFA TERMICA 1L MAGIC PUMP ROSA BALE 8700ROB - TERMOLAR;TERMOLAR;UTILIDADES DOMÉSTICAS;33,47;61,52;13,51;22,0;2741;45,68;subindo;8;0;3;61,52;23,5;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB60116970;https://produto.mercadolivre.com.br/MLB-6293645964
23;72;ANUNCIAR JA;100879;MOTO ELETRICA 2592 PRETA - BANDEIRANTE;BANDEIRANTES;BRINQUEDOS;237,16;999,90;588,37;58,8;307;5,12;subindo;3;0;3;999,90;60,3;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB15489274;https://produto.mercadolivre.com.br/MLB-4353804575
24;72;ANUNCIAR JA;150518;CAIXA TERMICA 12L TROPICAL FIGO VERDE - SOPRANO;SOPRANO;BAZAR;32,38;72,99;25,41;34,8;262;4,37;subindo;2;0;2;72,99;35,2;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB28756343;https://produto.mercadolivre.com.br/MLB-5228850702
25;72;ANUNCIAR JA;116209;ESTOJO BOX ACADEMIE CEREJA - TILIBRA;TILIBRA;MATERIAIS;36,32;73,00;21,67;29,7;534;8,90;subindo;3;0;3;73,00;29,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB58783507;https://produto.mercadolivre.com.br/MLB-6762916826
26;72;ANUNCIAR JA;133636;ORGANIZADOR BAIXO 8,6L - SANREMO;SANREMO;UTILIDADES DOMÉSTICAS;16,49;43,80;15,62;35,7;257;4,28;subindo;2;0;2;49,90;42,4;conferir;DUVIDOSA;concorrente baixou 12%;https://www.mercadolivre.com.br/p/MLB27480708;https://produto.mercadolivre.com.br/MLB-3556360141
