COD_PRODUTO;PRODUTO;MARCA;CUSTO;CATEGORIA_ML;COMISSAO_PCT;PRECO_EMPATE;PRECO_20PCT;OBS
4323;ENVELOPE OURO 16x22cm KRAFT OURO - FORONI;FORONI;0,15;Envelopes para Convites (MLB260310);11.5;0,17;0,22;frete e imposto não inclusos
4348;CANETA PARA TECIDO MARROM ACRILPEN 531- ACRILEX;ACRILEX;4,83;Marcadores (MLB419963);11.5;5,46;7,05;frete e imposto não inclusos
4346;CANETA PARA TECIDO AZUL TURQUESA ACRILPEN 501 - ACRILEX;ACRILEX;4,83;Marcadores (MLB419963);11.5;5,46;7,05;frete e imposto não inclusos
4347;CANETA PARA TECIDO VERDE MUSGO ACRILPEN 513 - ACRILEX;ACRILEX;4,83;Marcadores (MLB419963);11.5;5,46;7,05;frete e imposto não inclusos
4369;TALAGARÇA BRANCA;;11,87;Vending Machines de Cigarros (MLB413633);12;13,49;17,46;frete e imposto não inclusos
4376;PLASTICO P/ ENCAPAR ROLO 2 METROS SORTIDO - MERCUR;MERCUR;1,01;Rolos de Embalagem (MLB270415);11.5;1,14;1,47;frete e imposto não inclusos
4395;TINTA TEMPERA GUACHE 250ml VERDE BANDEIRA 511- ACRILEX;ACRILEX;5,50;Têmperas (MLB271115);11.5;6,21;8,03;frete e imposto não inclusos
4394;TINTA TEMPERA GUACHE 250ml AZUL CELESTE 503 - ACRILEX;ACRILEX;5,65;Têmperas (MLB271115);11.5;6,38;8,25;frete e imposto não inclusos
4396;TINTA TEMPERA GUACHE 250ml LARANJA 517 - ACRILEX;ACRILEX;5,65;Têmperas (MLB271115);11.5;6,38;8,25;frete e imposto não inclusos
4398;TINTA TEMPERA GUACHE 250ml MARROM 531- ACRILEX;ACRILEX;5,65;Têmperas (MLB271115);11.5;6,38;8,25;frete e imposto não inclusos
4397;TINTA TEMPERA GUACHE 250ml ROSA 537 - ACRILEX;ACRILEX;5,65;Têmperas (MLB271115);11.5;6,38;8,25;frete e imposto não inclusos
4399;TINTA TEMPERA GUACHE 250ml VERDE FOLHA 510 - ACRILEX;ACRILEX;5,65;Têmperas (MLB271115);11.5;6,38;8,25;frete e imposto não inclusos
